Donation Indicator,Donation Frequency,Average Donation,Digital Engagement Score,Last Donation Recency,Donation Amount Predicted,Wealth Index,Event Participation,DonorID,axio_segment_number
True,9,113.87,76,2,140.1,51,Medium,132,0
True,7,111.46,81,3,136.24,25,High,133,0
True,8,117.78,74,1,295.48,21,Medium,134,0
True,6,132.95,88,2,229.08,59,High,135,0
True,6,134.23,88,3,119.56,14,Medium,136,0
True,12,113.72,71,1,132.58,9,High,137,0
True,10,179.02,78,2,134.19,78,High,138,0
True,5,127.53,83,3,124.29,36,High,139,0
True,7,148.13,73,2,100.44,81,High,140,0
True,11,124.1,82,1,101.05,87,High,141,0
True,8,104.23,84,3,141.67,41,Medium,142,0
True,8,103.7,91,2,145.06,52,Medium,143,0
True,13,125.95,73,3,100.52,66,High,144,0
True,7,114.91,76,1,106.95,6,High,145,0
True,10,110.77,87,2,144.62,23,Medium,146,0
True,9,117.38,80,1,142.33,46,High,147,0
True,9,107.03,77,2,248.94,74,Medium,148,0
True,6,180.4,86,3,154.19,61,High,149,0
True,10,102.28,81,3,125.64,96,High,150,0
True,9,232.41,78,1,127.83,94,Medium,151,0
True,11,154.34,97,1,147.74,26,High,152,0
True,10,147.86,78,3,102.81,56,Medium,153,0
True,7,150.5,97,0,115.74,93,Medium,154,0
True,9,138.43,75,2,137.68,93,Medium,155,0
True,7,147.33,96,3,155.81,67,High,156,0
True,8,111.75,77,3,160.06,85,High,157,0
True,9,111.62,76,3,339.55,30,Medium,158,0
True,6,259.86,73,2,119.55,10,High,159,0
True,9,117.3,80,3,100.65,29,High,160,0
True,13,208.99,72,0,159.54,84,High,161,0
True,5,117.8,71,2,105.17,37,High,162,0
True,10,103.86,72,2,104.97,68,High,163,0
True,10,120.19,82,2,152.25,67,Medium,164,0
True,5,223.52,97,3,106.54,78,Medium,165,0
True,10,149.82,91,2,138.92,42,High,166,0
True,5,114.4,91,2,144.3,54,High,167,0
True,8,128.35,90,2,118.83,49,High,168,0
True,10,122.94,90,3,205.01,34,High,169,0
True,6,114.63,82,2,196.35,17,High,170,0
True,9,143.24,75,2,103.28,49,High,171,0
True,10,155.54,88,2,171.56,31,Medium,172,0
True,10,123.9,75,1,102.97,40,Medium,173,0
True,16,199.27,80,2,172.43,65,High,174,0
True,6,260.14,88,1,131.2,16,Medium,175,0
True,8,106.7,78,1,102.55,17,High,176,0
True,10,118.88,74,2,103.81,89,High,177,0
True,6,107.68,90,1,123.4,28,Medium,178,0
True,7,124.52,74,3,213.36,32,High,179,0
True,6,100.17,99,3,132.21,56,High,180,0
True,9,108.04,83,2,142.36,96,High,181,0
True,9,112.64,99,0,120.82,24,High,182,0
True,14,112.72,100,2,168.74,37,High,183,0
True,6,104.69,95,2,139.26,10,Medium,184,0
True,8,102.34,70,1,123.23,50,Medium,185,0
True,10,142.85,80,1,133.59,37,High,186,0
True,10,216.0,78,2,167.53,48,Medium,187,0
True,10,222.54,85,1,117.34,62,High,188,0
True,13,111.21,99,1,105.36,13,High,189,0
True,7,224.95,96,1,157.11,96,Medium,190,0
True,10,108.35,73,3,110.26,3,Medium,191,0
True,6,141.96,94,2,231.64,69,High,192,0
True,6,188.81,84,2,137.59,32,Medium,193,0
True,5,102.95,94,2,123.22,45,High,194,0
True,10,152.09,73,3,119.56,36,High,195,0
True,11,156.22,100,2,112.42,50,High,196,0
True,8,107.17,87,0,226.39,53,High,197,0
True,14,155.64,98,1,110.53,24,High,198,0
True,14,116.55,88,1,107.1,86,High,199,0
True,8,125.97,80,2,134.83,9,High,200,0
True,9,118.04,85,1,112.74,41,Medium,201,0
True,9,129.68,76,1,126.48,21,High,202,0
True,7,113.23,72,3,193.95,28,Medium,203,0
True,11,293.81,76,3,251.28,27,High,204,0
True,8,117.92,86,3,121.32,57,Medium,205,0
True,10,127.88,82,0,107.64,1,Medium,206,0
True,7,177.74,70,2,121.04,26,Medium,207,0
True,6,104.13,88,2,107.87,68,Medium,208,0
True,8,136.41,74,2,180.85,80,Medium,209,0
True,7,128.28,72,3,110.95,86,High,210,0
True,9,148.09,95,3,216.16,73,Medium,211,0
True,5,111.46,87,2,114.41,92,High,212,0
True,13,135.45,73,1,148.54,40,High,213,0
True,10,145.65,78,0,134.4,85,Medium,214,0
True,10,117.92,88,3,165.39,55,High,215,0
True,10,171.49,70,2,143.79,8,Medium,216,0
True,7,146.71,72,2,115.95,81,Medium,217,0
True,10,160.76,77,3,106.33,43,Medium,218,0
True,13,137.01,71,2,126.03,7,High,219,0
True,10,127.72,98,2,116.92,3,High,220,0
True,5,101.32,72,3,134.9,67,Low,221,0
True,8,146.61,77,1,108.5,34,High,222,0
True,8,117.46,80,0,130.61,12,High,223,0
True,6,205.69,79,1,129.88,84,High,224,0
True,6,139.43,86,2,142.88,94,High,225,0
True,8,113.93,82,1,214.4,87,Medium,226,0
True,7,107.36,85,1,151.86,19,Medium,227,0
True,6,136.46,72,2,105.57,32,Medium,228,0
True,7,116.2,78,1,107.64,44,Medium,229,0
True,10,108.35,71,2,128.01,72,High,230,0
True,8,132.73,74,3,102.14,35,Medium,231,0
True,7,168.71,100,1,107.52,54,Medium,232,0
True,10,112.47,76,3,142.41,70,Medium,233,0
True,10,105.34,99,2,117.14,7,High,234,0
True,10,200.28,98,1,110.44,100,High,235,0
True,6,133.73,91,1,196.74,52,Medium,236,0
True,7,175.87,72,1,105.63,56,High,237,0
True,8,118.34,92,2,130.28,26,Medium,238,0
True,9,209.4,89,1,190.58,60,Medium,239,0
True,12,181.82,82,3,115.11,30,High,240,0
True,11,163.01,87,1,110.48,78,High,241,0
True,8,120.72,75,2,130.85,69,Medium,242,0
True,7,185.54,96,3,135.42,43,Medium,243,0
True,10,136.94,80,3,132.5,49,Medium,244,0
True,11,156.23,71,1,199.18,8,High,245,0
True,10,126.7,88,2,127.58,22,Medium,246,0
True,10,243.95,84,3,123.65,88,High,247,0
True,7,121.53,74,1,103.98,45,High,248,0
True,10,121.73,72,1,112.98,9,High,249,0
True,10,127.26,83,2,100.39,85,High,250,0
True,8,109.53,90,3,136.84,64,High,251,0
True,6,128.0,84,3,160.9,56,High,252,0
True,14,133.94,90,1,129.49,89,High,253,0
True,13,219.6,83,3,108.77,89,High,254,0
True,8,136.35,73,2,132.13,35,Medium,255,0
True,10,105.37,80,2,112.1,4,High,256,0
True,5,103.69,72,1,121.09,88,Low,257,0
True,8,106.23,81,1,106.61,45,Medium,258,0
True,10,115.27,99,3,114.29,13,High,259,0
True,8,106.7,76,2,107.39,73,Medium,260,0
True,10,101.76,84,3,139.01,14,Medium,261,0
True,8,172.22,92,2,126.97,83,High,262,0
True,9,150.5,93,2,136.6,63,Medium,263,0
True,10,123.18,73,3,103.53,51,High,264,0
True,7,102.25,94,2,194.93,85,High,265,0
True,8,115.34,93,2,104.07,71,Medium,266,0
True,7,161.24,80,1,155.19,31,High,267,0
True,8,109.07,74,1,125.6,76,Medium,268,0
True,6,118.31,73,3,123.09,56,High,269,0
True,7,101.56,81,2,151.18,57,High,270,0
True,6,121.22,96,2,132.34,15,Medium,271,0
True,14,112.96,71,1,134.13,66,High,272,0
True,12,139.45,98,1,121.89,36,High,273,0
True,12,108.39,79,3,179.7,28,High,274,0
True,7,254.24,72,2,110.88,99,High,275,0
True,6,131.68,84,1,103.6,86,Medium,276,0
True,13,107.69,93,2,107.1,47,High,277,0
True,9,131.42,93,0,124.55,65,High,278,0
True,9,112.03,75,1,128.06,97,Medium,279,0
True,10,143.77,79,2,131.42,33,Medium,280,0
True,11,120.42,79,1,118.17,46,High,281,0
True,12,124.58,90,3,159.38,12,High,282,0
True,11,249.06,82,3,162.52,7,High,283,0
True,8,113.54,87,1,123.28,20,Medium,284,0
True,8,249.53,97,3,110.65,87,High,285,0
True,6,111.92,97,1,116.03,68,Medium,286,0
True,9,107.02,79,3,214.77,87,High,287,0
True,10,104.8,74,2,132.36,50,High,288,0
True,12,104.16,94,3,124.23,13,High,289,0
True,8,113.22,100,2,165.55,55,High,290,0
True,8,110.52,70,2,120.51,38,High,291,0
True,8,114.99,95,2,125.5,47,Medium,292,0
True,9,114.34,71,2,174.47,16,Medium,293,0
True,11,258.34,98,2,101.11,9,High,294,0
True,5,208.7,99,3,164.2,93,Medium,295,0
True,13,132.64,82,3,158.08,88,High,296,0
True,10,150.77,96,2,142.98,54,High,297,0
True,10,105.13,92,3,118.81,39,Medium,298,0
True,11,156.44,70,2,226.68,61,High,299,0
True,6,275.84,76,1,109.28,40,Medium,300,0
True,12,122.69,74,3,139.23,3,High,301,0
True,13,244.56,100,2,115.32,0,High,302,0
True,10,192.11,97,3,260.37,26,High,303,0
True,5,112.94,88,1,110.0,52,High,304,0
True,10,145.6,92,3,100.05,0,Medium,305,0
True,6,152.8,91,0,101.89,28,Medium,306,0
True,6,122.98,82,3,169.78,39,High,307,0
True,10,183.28,83,2,122.34,67,High,308,0
True,10,117.85,72,1,115.82,71,High,309,0
True,7,202.56,85,3,227.92,34,Medium,310,0
True,7,110.06,84,1,118.91,63,High,311,0
True,11,116.28,95,3,116.32,54,High,312,0
True,9,133.45,96,3,138.96,85,High,313,0
True,6,107.78,77,2,154.26,62,High,314,0
True,5,109.66,81,1,135.88,0,Medium,315,0
True,9,127.55,98,3,146.52,33,Medium,316,0
True,10,125.96,78,1,121.97,49,Medium,317,0
True,10,109.55,100,3,274.31,86,High,318,0
True,5,201.8,82,2,138.1,94,Low,319,0
True,6,168.95,90,0,143.05,17,High,320,0
True,8,101.16,93,1,133.43,52,High,321,0
True,6,124.74,85,3,145.25,32,High,322,0
True,13,109.59,83,3,132.67,30,High,323,0
True,10,180.02,82,2,117.08,20,High,324,0
True,10,150.94,75,2,208.61,90,High,325,0
True,10,135.76,87,3,141.04,100,Medium,326,0
True,8,102.77,92,3,178.92,45,High,327,0
True,10,144.69,77,2,102.43,14,Medium,328,0
True,9,165.96,80,3,103.79,6,High,329,0
True,6,147.71,73,3,223.86,26,High,330,0
True,7,105.94,83,3,172.46,2,High,331,0
True,6,181.68,87,2,140.82,85,High,332,0
True,6,168.57,77,1,172.14,41,Medium,333,0
True,10,106.82,71,1,153.39,7,High,334,0
True,8,163.02,92,1,110.76,24,High,335,0
True,9,132.74,90,1,119.59,12,High,336,0
True,5,112.14,86,2,139.25,51,High,337,0
True,6,102.15,100,2,141.85,41,High,338,0
True,10,139.51,80,2,109.83,19,High,339,0
True,10,114.77,86,1,185.89,53,Medium,340,0
True,9,167.22,71,1,122.14,22,Medium,341,0
True,9,100.32,72,3,101.13,20,Medium,342,0
True,9,224.65,91,2,155.92,70,Medium,343,0
True,10,153.88,79,3,126.16,30,Medium,344,0
True,9,261.65,93,3,123.52,62,High,345,0
True,9,126.03,98,3,129.89,89,High,346,0
True,10,175.14,99,1,140.64,61,Medium,347,0
True,7,146.4,99,1,137.75,70,Medium,348,0
True,7,105.35,94,1,130.93,53,High,349,0
True,9,150.1,86,1,131.49,67,High,350,0
True,10,105.88,95,1,213.87,19,High,351,0
True,10,133.07,98,2,119.39,15,Medium,352,0
True,7,132.95,77,1,117.84,60,High,353,0
True,9,182.22,95,3,463.44,96,Medium,354,0
True,9,114.96,80,3,205.17,12,High,355,0
True,8,129.28,80,1,215.53,20,High,356,0
True,6,120.06,75,3,151.95,64,Medium,357,0
True,6,134.66,93,1,110.38,81,High,358,0
True,14,103.95,72,3,102.7,2,High,359,0
True,12,150.16,81,1,117.79,96,High,360,0
True,10,114.98,86,3,124.0,65,Medium,361,0
True,7,174.23,99,3,122.03,67,High,362,0
True,6,103.16,81,1,134.51,50,Medium,363,0
True,10,163.31,92,3,112.28,43,High,364,0
True,5,146.83,78,3,163.59,57,Low,365,0
True,6,151.4,86,1,112.08,39,Medium,366,0
True,6,158.41,81,2,130.63,63,High,367,0
True,7,148.97,87,1,101.1,12,High,368,0
True,6,185.53,83,2,107.12,65,Medium,369,0
True,12,162.53,77,2,115.16,52,High,370,0
True,10,120.86,86,1,117.58,74,High,371,0
True,5,185.3,95,2,113.4,74,Medium,372,0
True,5,127.71,79,1,123.73,93,Low,373,0
True,5,194.98,77,1,112.08,80,Medium,374,0
True,7,163.79,100,3,174.51,14,High,375,0
True,11,141.81,97,3,108.6,3,High,376,0
True,9,115.18,90,1,107.29,99,High,377,0
True,9,126.04,78,1,130.28,49,Medium,378,0
True,7,150.5,97,1,138.87,65,Medium,379,0
True,10,125.23,80,1,106.09,91,High,380,0
True,6,359.1,84,1,113.62,47,High,381,0
True,11,157.35,87,2,145.89,100,High,382,0
True,7,116.22,74,1,125.28,63,High,383,0
True,7,139.2,89,1,174.43,99,High,384,0
True,10,179.97,75,1,131.04,16,Medium,385,0
True,8,108.35,99,3,136.85,62,Medium,386,0
True,6,210.01,72,3,177.72,50,High,387,0
True,6,118.46,94,3,198.4,35,Medium,388,0
True,6,104.55,86,2,110.57,41,High,389,0
True,8,180.2,83,2,108.75,58,Medium,390,0
True,6,144.73,89,1,103.68,24,Medium,391,0
True,12,172.33,88,3,103.88,7,High,392,0
True,5,158.19,91,0,116.36,82,Medium,393,0
True,10,178.37,92,2,162.16,23,High,394,0
True,11,142.36,79,3,142.76,56,High,395,0
True,10,107.57,86,3,124.63,87,Medium,396,0
True,6,106.99,75,1,123.13,7,Medium,397,0
True,8,180.2,81,1,157.03,22,Medium,398,0
True,8,136.9,97,1,100.68,32,Medium,399,0
True,5,134.36,80,2,106.18,18,High,400,0
True,9,129.16,83,1,120.21,66,High,401,0
True,6,194.25,72,0,199.1,57,High,402,0
True,8,165.14,93,3,111.66,59,Medium,403,0
True,5,116.82,90,1,157.66,11,Medium,404,0
True,8,116.54,78,3,107.53,78,High,405,0
True,8,127.16,87,2,122.78,37,High,406,0
True,12,111.46,75,1,119.95,77,High,407,0
True,14,175.68,80,2,108.7,42,High,408,0
True,6,127.69,74,1,140.35,53,Medium,409,0
True,7,101.98,79,2,191.07,37,Medium,410,0
True,7,139.7,96,3,137.98,29,High,411,0
True,7,131.09,77,2,106.15,60,Medium,412,0
True,11,130.4,72,3,134.28,65,High,413,0
True,10,118.58,74,3,134.58,93,Medium,414,0
True,6,156.22,85,3,121.0,40,Medium,415,0
True,11,101.6,98,3,119.29,21,High,416,0
True,6,190.23,82,1,110.8,73,Medium,417,0
True,8,125.25,94,2,135.95,84,Medium,418,0
True,9,130.04,81,3,135.69,60,Medium,419,0
True,12,109.94,87,2,103.1,58,High,420,0
True,10,173.35,73,3,160.95,87,Medium,421,0
True,12,101.06,80,3,132.06,51,High,422,0
True,9,287.38,92,1,110.56,5,High,423,0
True,8,102.41,100,1,134.43,51,Medium,424,0
True,11,103.92,99,2,165.66,27,High,425,0
True,7,125.12,85,0,110.8,68,High,426,0
True,10,111.12,71,2,110.23,1,High,427,0
True,9,138.44,95,1,110.08,58,Medium,428,0
True,10,101.04,100,2,133.75,18,Medium,429,0
True,6,121.44,77,2,144.04,17,High,430,0
True,10,132.5,74,2,119.69,74,High,431,0
True,6,117.94,98,3,213.33,16,Medium,432,0
True,6,116.84,94,2,123.26,11,Medium,433,0
True,8,128.67,76,2,171.94,38,Medium,434,0
True,10,163.31,80,3,196.78,62,High,435,0
True,8,186.46,74,3,123.95,16,Medium,436,0
True,9,119.16,87,2,130.93,55,Medium,437,0
True,7,110.89,74,1,105.31,77,High,438,0
True,10,107.29,94,3,192.29,49,Medium,439,0
True,6,189.07,74,1,190.95,86,Medium,440,0
True,9,123.75,88,2,172.23,57,High,441,0
True,10,139.78,89,3,108.84,57,High,442,0
True,8,103.4,92,2,119.67,45,Medium,443,0
True,10,121.48,96,1,102.33,40,High,444,0
True,9,111.25,94,2,104.19,97,High,445,0
True,10,134.31,89,2,235.53,85,High,446,0
True,6,107.28,100,2,115.6,2,Medium,447,0
True,7,124.9,85,3,140.96,9,High,448,0
True,8,153.55,77,1,107.5,97,High,449,0
True,9,138.92,95,1,187.6,34,High,450,0
True,6,166.28,71,2,149.47,44,High,451,0
True,9,166.69,80,1,147.05,99,Medium,452,0
True,8,112.75,98,1,125.26,97,Medium,453,0
True,10,121.87,72,1,133.95,57,Medium,454,0
True,6,288.74,83,3,112.12,7,Medium,455,0
True,7,153.38,76,2,107.64,62,High,456,0
True,9,110.23,96,1,129.52,50,Medium,457,0
True,5,168.05,83,3,116.34,37,Low,458,0
True,6,113.5,71,2,120.96,85,Medium,459,0
True,9,154.99,93,2,173.3,95,Medium,460,0
True,10,134.68,78,0,148.69,37,Medium,461,0
True,7,111.85,92,2,137.37,67,High,462,0
True,5,134.07,99,2,247.44,52,High,463,0
True,10,103.33,96,3,210.06,40,High,464,0
True,10,165.56,86,3,126.2,12,High,465,0
True,10,122.67,88,1,106.27,43,High,466,0
True,9,301.02,87,3,106.05,57,High,467,0
True,7,106.03,96,1,136.01,62,High,468,0
True,13,217.18,95,3,138.84,57,High,469,0
True,11,115.42,74,2,107.01,82,High,470,0
True,12,122.13,93,0,104.93,80,High,471,0
True,7,167.82,93,1,105.38,17,High,472,0
True,10,120.35,77,3,124.45,100,High,473,0
True,12,102.39,77,1,102.79,32,High,474,0
True,10,231.52,83,3,212.67,76,High,475,0
True,6,169.87,79,0,150.89,54,Medium,476,0
True,11,153.4,76,2,127.61,98,High,477,0
True,10,136.46,83,3,100.29,96,Medium,478,0
True,10,102.0,82,2,143.27,70,Medium,479,0
True,11,254.21,75,2,121.77,3,High,480,0
True,8,105.19,87,3,114.15,73,Medium,481,0
True,6,136.12,76,1,146.16,33,High,482,0
True,11,196.14,100,3,152.44,45,High,483,0
True,6,234.47,88,2,133.73,4,High,484,0
True,12,139.57,75,2,127.51,55,High,485,0
True,9,128.88,94,2,100.76,95,High,486,0
True,9,198.01,72,2,130.63,77,Medium,487,0
True,6,106.42,92,2,102.34,33,Medium,488,0
True,10,106.72,90,3,111.27,55,Medium,489,0
True,15,161.65,96,1,199.5,71,High,490,0
True,14,106.42,82,1,114.65,48,High,491,0
True,7,149.91,75,2,141.38,32,Medium,492,0
True,5,126.94,86,1,209.59,73,High,493,0
True,6,127.33,97,2,138.23,39,Medium,494,0
True,11,147.11,82,3,160.95,70,High,495,0
True,8,198.18,84,1,186.44,60,High,496,0
True,11,149.41,96,1,106.13,25,High,497,0
True,7,103.17,82,1,102.7,62,High,498,0
True,10,101.15,95,1,190.32,54,High,499,0
True,5,120.92,73,2,106.47,13,Medium,500,0
True,11,147.41,94,2,101.98,27,High,501,0
True,9,110.11,82,1,127.94,41,High,502,0
True,12,105.98,95,3,160.24,29,High,503,0
True,7,118.16,86,1,151.53,78,High,504,0
True,14,116.33,79,3,165.58,89,High,505,0
True,6,117.45,89,1,141.23,74,Medium,506,0
True,6,156.16,77,1,201.71,71,Medium,507,0
True,8,236.11,84,3,103.06,50,Medium,508,0
True,6,114.44,81,3,141.48,14,High,509,0
True,12,137.13,97,2,131.15,60,High,510,0
True,10,127.81,75,3,110.88,47,Medium,511,0
True,8,138.74,76,1,100.33,95,High,512,0
True,9,134.19,74,3,105.93,68,High,513,0
True,11,114.04,80,2,110.69,22,High,514,0
True,7,128.51,73,2,164.15,52,High,515,0
True,8,128.87,82,3,110.88,68,Medium,516,0
True,8,108.11,76,1,135.88,78,Medium,517,0
True,13,134.66,88,2,226.15,77,High,518,0
True,10,111.77,96,1,157.78,52,High,519,0
True,7,106.05,95,2,207.81,99,Medium,520,0
True,7,170.79,83,1,111.47,56,Medium,521,0
True,8,101.7,85,3,110.46,74,High,522,0
True,10,102.85,76,1,105.46,79,Medium,523,0
True,8,121.07,75,1,104.01,70,Medium,524,0
True,7,237.68,95,1,119.97,37,High,525,0
True,12,145.86,99,3,125.5,23,High,526,0
True,7,171.25,92,0,153.75,58,Medium,527,0
True,13,142.45,85,3,153.1,30,High,528,0
True,7,150.36,91,2,108.41,34,Medium,529,0
True,9,101.96,83,2,148.8,30,High,530,0
True,10,119.13,82,2,184.61,81,High,531,0
True,9,142.42,100,3,107.92,71,High,532,0
True,5,150.72,99,1,148.0,20,Low,533,0
True,6,105.93,80,2,133.54,93,High,534,0
True,10,121.51,72,2,109.93,87,Medium,535,0
True,11,111.68,86,1,140.28,22,High,536,0
True,7,110.39,84,2,152.5,80,High,537,0
True,8,104.76,95,2,128.61,18,Medium,538,0
True,14,132.77,80,1,387.63,62,High,539,0
True,11,102.83,92,2,103.48,37,High,540,0
True,6,142.67,84,3,121.03,59,Medium,541,0
True,9,112.82,100,2,104.1,69,High,542,0
True,10,110.52,90,1,260.2,45,High,543,0
True,8,186.98,98,1,156.0,90,Medium,544,0
True,9,101.62,72,1,100.48,29,High,545,0
True,8,243.6,91,3,112.44,95,Medium,546,0
True,7,150.65,73,1,136.24,59,High,547,0
True,6,119.93,74,1,226.1,40,Medium,548,0
True,8,120.46,94,1,149.68,5,High,549,0
True,6,134.9,72,2,107.41,54,High,550,0
True,8,102.42,88,1,130.35,61,Medium,551,0
True,8,103.3,73,2,184.04,98,High,552,0
True,8,153.49,81,2,134.73,30,High,553,0
True,10,107.66,80,2,119.52,70,Medium,554,0
True,7,143.92,97,3,130.0,15,Medium,555,0
True,10,114.4,76,3,117.8,9,Medium,556,0
True,7,157.11,74,2,129.1,58,Medium,557,0
